definition;glottocode;id_word;id_meaning;lemma;ipa;morphology;pos;examples;reference;annotator
"А1 гIалгIаи? алфавилта хъалхара алап.  Первая буква ингушского алфавита; алап «~»Iоязде.  Написать букву «а»";ingu1240;1;1;а;a;;;алап «а»Iоязде.  Написать букву «а».;Bekova 2009;Varvara Kormilitsyna
"А2 союз и, да; воша и?иша ~.  И брат, и сестра";ingu1240;2;1;а;a;;conj;воша и?иша а.  И брат, и сестра.;Bekova 2009;Varvara Kormilitsyna
"А3 союз также, тоже; из ~ вахар Буро тIа.  Он тоже жил во Владикавказе";ingu1240;3;1;а;a;;conj;из а вахар Буро тIа.  Он тоже жил во Владикавказе.;Bekova 2009;Varvara Kormilitsyna
"А4 частица даже, и; сога ~ техаяц зIы.  И мне не позвонили";ingu1240;4;1;а;a;;part;сога а техаяц зIы.  И мне не позвонили.;Bekova 2009;Varvara Kormilitsyna
"А5 частица, усиливающая оттенок отрицания, никто; цхьаннена ~ дицмалац бIаьстан денош.  Никто не забывает весенние дни";ingu1240;5;1;а;a;;part;цхьаннена а дицмалац бIаьстан денош.  Никто не забывает весенние дни.;Bekova 2009;Varvara Kormilitsyna
"А6 отриц.  слово нет; нек де хои? хьона? ~.  Ты умеешь плавать? Нет";ingu1240;6;1;а;a;;;нек де хои? хьона? а.  Ты умеешь плавать? Нет.;Bekova 2009;Varvara Kormilitsyna
"А7 сущ.  мед.  д (д), -наш, -но, -наца спазм мышцы, судорога; кога ~ эттад.  Спазм мышцы ноги";ingu1240;7;1;а;a;д, наш, но, наца;noun;кога а эттад.  Спазм мышцы ноги.;Bekova 2009;Varvara Kormilitsyna
"А8 сущ.  мед.  (только в ед. ч. ), -но, -наца прострел; ~ ии?ккхар цунга.  У него прострел";ingu1240;8;1;а;a;только в ед. ч. , но, наца;noun;а ии?ккхар цунга.  У него прострел.;Bekova 2009;Varvara Kormilitsyna
"АБА сущ.  я (я), -аш, -о, -аца халат (у хаджи ряса); и?Iаьха ~.  Длинныи? халат";ingu1240;9;1;аба;a-b-a;я, у хаджи ряса, аш, о, аца;noun;и?Iаьха аба.  Длинныи? халат.;Bekova 2009;Varvara Kormilitsyna
"АБАДЕ сущ.  я (только в ед.  ч. ), -ено, -енца вечность без конца; ~.  Вечность";ingu1240;10;1;абаде;a-b-a-d-je;только в ед.  ч. , ено, енца;noun;абаде.  Вечность.;Bekova 2009;Varvara Kormilitsyna
"АБАЖУР  сущ.  я (я), -аш, -о, -аца абажур; хоза ~.  Красивыи? абажур";ingu1240;11;1;абажур;a-b-a-?-u?-r;я, аш, о, аца;noun;хоза абажур.  Красивыи? абажур.;Bekova 2009;Varvara Kormilitsyna
"АБАЗО // обзо сущ.  в, я (б), -и?, -чо, -чунца абазинец, абазинка; ши ~ вар соца эскаре гIулакх деш.  Со мнои? служили в армии два абазинца";ingu1240;12;1;абазо;a-b-a-z-o;обзо, б, и, чо, чунца;noun;ши абазо вар соца эскаре гIулакх деш.  Со мнои? служили в армии два абазинца.;Bekova 2009;Varvara Kormilitsyna
"АБАЗОИ? прил.  абазинскии?; мотт.Абазинскии? язык.АБАТсущ.  д(д), -аш, -о, -аца букварь, азбука; ~ деша.  Читать букварь";ingu1240;13;1;абазои;a-b-a-z-o-i;д, аш, о, аца;noun;абазои деша.  Читать букварь.;Bekova 2009;Varvara Kormilitsyna
"АБАТА прил.  алфавитныи?; ~ аргIа.Алфавитныи? порядок";ingu1240;14;1;абата;a-b-a-t-a;;adj;абата аргIа.Алфавитныи? порядок.;Bekova 2009;Varvara Kormilitsyna
"АББАТ  сущ.  рел.  в (б), -аш, -а, -аца аббат; къона ~.  Молодои? аббат";ingu1240;15;1;аббат;a-b-b-a-t;б, аш, а, аца;noun;къона аббат.  Молодои? аббат.;Bekova 2009;Varvara Kormilitsyna
"АББАТА // аббатии? прил.  рел.  аббатскии?; ~ низам.  Аббатская дисциплина";ingu1240;16;1;аббата;a-b-b-a-t-a;аббатии;adj;аббата низам.  Аббатская дисциплина.;Bekova 2009;Varvara Kormilitsyna
